Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
Methanol Blank DG14 Neb 40,1,,"2,4-Dnitroanisole",1,483,Find by Formula,1506,121.0509,198.0288,,54.07,221.0191,,11.063,11.055,11.088,11.004,1.10,5.55,54.07,low score; No H adduct,Warning,2,198.0277,,,Sample,C7 H6 N2 O5,1468,2,Positive,1,1,1,"Cpd 1: 2,4-Dnitroanisole; C7 H6 N2 O5; 11.063",Methanol_Blank_191211-0001.d,Instrument 1,P1-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Methanol Blank DG14 Neb 40,2,,Diethyl Phthalate,1,311,Find by Formula,262194,121.0509,222.0902,,55.71,245.0777,,6.758,6.302,7.089,0.987,1.03,4.63,55.71,low score; No H adduct,Warning,2,222.0892,,,Sample,C12 H14 O4,11228,4,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 6.758,Methanol_Blank_191211-0001.d,Instrument 1,P1-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 10mg (2) DG14 Neb 40,1,,"2,4-Dinitrotoluene",1,2620,Find by Formula,635604,121.0509,182.0335,,72.00,200.0670,,9.585,6.679,10.728,4.582,0.71,3.88,72.00,low score; No H adduct,Warning,2,182.0328,,,Sample,C7 H6 N2 O4,4600,2,Positive,1,1,1,"Cpd 1: 2,4-Dinitrotoluene; C7 H6 N2 O4; 9.585",Propellant 10mg (2)_191211-0004.d,Instrument 1,P1-A4,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 10mg (2) DG14 Neb 40,2,,PETN,1,2980,Find by Formula,415,121.0509,316.0147,,64.53,334.0495,,7.614,7.602,7.622,0.146,0.86,2.73,64.53,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1600,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 7.614,Propellant 10mg (2)_191211-0004.d,Instrument 1,P1-A4,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 10mg (2) DG14 Neb 40,3,,Diethyl Phthalate,1,635,Find by Formula,47233,121.0509,222.0881,,63.30,245.0768,,6.919,6.737,6.968,4.140,-1.11,-4.99,63.30,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,5388,5,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 6.919,Propellant 10mg (2)_191211-0004.d,Instrument 1,P1-A4,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg (2) DG14 Neb 40,1,,Dimethyl Phthalate,1,1612,Find by Formula,5250,121.0509,194.0582,,70.99,217.0469,,13.693,13.663,13.715,0.024,0.32,1.66,70.99,low score; No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,4699,3,Positive,1,1,1,Cpd 1: Dimethyl Phthalate; C10 H10 O4; 13.693,Propellant 1mg (2)_191211-0003.d,Instrument 1,P1-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg (2) DG14 Neb 40,2,,Diethyl Phthalate,1,610,Find by Formula,96135,121.0509,222.0902,,74.07,245.0786,,8.004,7.897,8.236,8.027,0.96,4.31,74.07,low score; No H adduct,Warning,2,222.0892,,,Sample,C12 H14 O4,7796,4,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 8.004,Propellant 1mg (2)_191211-0003.d,Instrument 1,P1-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg (2) Repeat DG14 Neb 40,1,,PETN,1,1945,Find by Formula,5050,121.0509,316.0142,,57.47,334.0496,,14.414,14.389,14.472,0.365,0.31,0.99,57.47,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2088,4,Positive,1,1,1,Cpd 1: PETN; C5 H8 N4 O12; 14.414,Propellant 1mg (2)_repeat_191211-0005.d,Instrument 1,P1-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1mg (2) Repeat DG14 Neb 40,2,,Diethyl Phthalate,1,1086,Find by Formula,23329,121.0509,222.0888,,79.73,245.0786,,2.258,2.208,2.341,2.268,-0.38,-1.72,79.73,,Pass,0,222.0892,,,Sample,C12 H14 O4,4734,4,Positive,1,1,1,Cpd 2: Diethyl Phthalate; C12 H14 O4; 2.258,Propellant 1mg (2)_repeat_191211-0005.d,Instrument 1,P1-A3,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug (2) DG14 Neb 40,1,,Diethyl Phthalate,1,9945,Find by Formula,112626,121.0509,222.0873,,57.00,223.0947,,15.853,15.654,16.018,1.885,-1.86,-8.39,57.00,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,9775,4,Positive,1,1,1,Cpd 1: Diethyl Phthalate; C12 H14 O4; 15.853,Propellant 1ug (2)_191211-0002.d,Instrument 1,P1-A2,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
