Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
MeOH Blank,1,,"2,4-Dinitrotoluene",1,15586,Find by Formula,798498,112.0505,182.0323,,74.18,200.0658,,2.843,2.404,3.537,0.778,-0.50,-2.73,74.18,low score; No H adduct,Warning,2,182.0328,,,Sample,C7 H6 N2 O4,20088,2,Positive,1,1,1,"Cpd 1: 2,4-Dinitrotoluene; C7 H6 N2 O4; 2.843",MeOH_Blank_200124-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
MeOH Blank,2,,2-Nitrodiphenylamine,2,16081,Find by Formula,178913,679.5164,214.0746,,68.77,237.0637,,8.961,8.854,9.044,8.643,0.37,1.74,68.77,low score; No H adduct,Warning,2,214.0742,,,Sample,C12 H10 N2 O2,21570,3,Positive,1,1,1,Cpd 2: 2-Nitrodiphenylamine; C12 H10 N2 O2; 8.961,MeOH_Blank_200124-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
MeOH Blank,3,,Diethyl Phthalate,1,24336,Find by Formula,749231,453.3437,222.0893,,85.97,245.0783,,10.971,10.830,11.144,0.162,0.06,0.26,85.97,,Pass,0,222.0892,,,Sample,C12 H14 O4,76040,5,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 10.971,MeOH_Blank_200124-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
MeOH Blank,4,,Nitrobenzene,1,308541,Find by Formula,4282454,679.5165,123.0321,,87.90,124.0393,,9.003,8.813,9.246,0.326,0.03,0.24,87.90,,Pass,0,123.0320,,,Sample,C6 H5 N O2,232512,2,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 9.003,MeOH_Blank_200124-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),1,,Ethyl Centralite,1,3122142,Find by Formula,555741,269.1649,268.1576,,99.39,269.1649,,2.293,2.202,2.334,0.037,0.04,0.16,99.39,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,118955,5,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 2.293,Propellant_Std_100ug_1_200124-0006.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),2,,"2,4-Dinitrodiphenylamine",1,3062,Find by Formula,7839,269.1648,259.0597,,51.68,260.0662,,2.839,2.822,2.855,0.043,0.38,1.46,51.68,low score,Warning,2,259.0593,,,Sample,C12 H9 N3 O4,10232,3,Positive,1,1,1,"Cpd 2: 2,4-Dinitrodiphenylamine; C12 H9 N3 O4; 2.839",Propellant_Std_100ug_1_200124-0006.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),3,,Nitrobenzene,1,880223,Find by Formula,502009,269.1656,123.0318,,87.37,124.0391,,2.640,2.549,2.695,0.077,-0.24,-1.93,87.37,,Pass,0,123.0320,,,Sample,C6 H5 N O2,100524,2,Positive,1,1,1,Cpd 3: Nitrobenzene; C6 H5 N O2; 2.640,Propellant_Std_100ug_1_200124-0006.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),1,,Diphenylamine,1,266802,Find by Formula,72382131,269.1648,169.0889,,70.94,170.0960,,3.533,1.703,7.758,2.292,-0.24,-1.44,70.94,low score,Warning,2,169.0891,,,Sample,C12 H11 N,479629,2,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 3.533,Propellant_Std_100ug_2_200124-0007.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),2,,Ethyl Centralite,1,3231306,Find by Formula,11588033,269.1654,268.1580,,98.64,269.1654,,2.540,2.406,2.722,0.151,0.44,1.64,98.64,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1243398,5,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 2.540,Propellant_Std_100ug_2_200124-0007.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 100ug/mL (1),3,,Nitrobenzene,1,1129020,Find by Formula,161770,269.1645,123.0319,,87.52,124.0392,,6.608,6.592,6.650,0.073,-0.11,-0.87,87.52,,Pass,0,123.0320,,,Sample,C6 H5 N O2,86584,3,Positive,1,1,1,Cpd 3: Nitrobenzene; C6 H5 N O2; 6.608,Propellant_Std_100ug_2_200124-0007.d,Instrument 1,P2-A4,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL (1),1,,Ethyl Centralite,1,472643,Find by Formula,1957771,922.0098,268.1571,,96.84,269.1644,,2.560,2.362,2.734,0.130,-0.50,-1.85,96.84,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,231538,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 2.560,Propellant_Std_10ug_1_200124-0004.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL (1),2,,Nitrobenzene,1,428183,Find by Formula,9565760,679.5139,123.0320,,87.87,124.0393,,8.993,8.770,9.946,0.848,-0.05,-0.40,87.87,,Pass,0,123.0320,,,Sample,C6 H5 N O2,253872,3,Positive,1,1,1,Cpd 2: Nitrobenzene; C6 H5 N O2; 8.993,Propellant_Std_10ug_1_200124-0004.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
Propellant Standard 10ug/mL (2),1,,Ethyl Centralite,1,388180,Find by Formula,1464480,922.0098,268.1572,,96.63,269.1646,,2.548,2.424,2.681,0.144,-0.40,-1.47,96.63,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,171578,3,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 2.548,Propellant_Std_10ug_2_200124-0005.d,Instrument 1,P2-A3,Dominic Davis-Foster,Benito Gunshot Residue Positive.m,QualMethod.m,Success
