Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
DPA 1ug/mL  - different method (1),1,,Diphenylamine,1,733235,Find by Formula,33224196,448.3277,169.0888,,98.09,170.0959,,13.653,13.515,14.072,0.122,-0.40,-2.35,98.09,,Pass,0,169.0891,,,Sample,C12 H11 N,4078942,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.653,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (1),2,,Ethyl Centralite,1,555858,Find by Formula,12470308,144.9820,268.1573,,98.07,269.1645,,13.984,13.850,14.333,0.126,-0.31,-1.14,98.07,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1465211,5,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.984,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (1),3,,PETN,1,1043,Find by Formula,3791,118.0859,316.0114,,51.53,339.0052,,2.830,2.798,2.852,1.312,-2.50,-7.92,51.53,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,3243,4,Positive,1,1,1,Cpd 3: PETN; C5 H8 N4 O12; 2.830,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (1),4,,Dimethyl Phthalate,1,10885,Find by Formula,81118,112.0504,194.0580,,66.67,212.0918,,4.121,3.923,4.139,0.932,0.05,0.27,66.67,low score; No H adduct,Warning,2,194.0579,,,Sample,C10 H10 O4,13264,2,Positive,1,1,1,Cpd 4: Dimethyl Phthalate; C10 H10 O4; 4.121,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (1),5,,Diethyl Phthalate,1,48996,Find by Formula,590384,144.9823,222.0873,,65.90,223.0946,,8.898,8.744,9.174,0.263,-1.96,-8.80,65.90,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,40233,4,Positive,1,1,1,Cpd 5: Diethyl Phthalate; C12 H14 O4; 8.898,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (1),6,,Nitrobenzene,1,211086,Find by Formula,9820150,144.9824,123.0320,,99.76,124.0393,,8.678,8.199,11.723,2.399,-0.02,-0.19,99.76,,Pass,0,123.0320,,,Sample,C6 H5 N O2,82980,3,Positive,1,1,1,Cpd 6: Nitrobenzene; C6 H5 N O2; 8.678,DPA_1ug_ml_diff_method_1_200218-0002.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (2),1,,Diphenylamine,1,729575,Find by Formula,34037920,448.3280,169.0890,,99.00,170.0962,,13.657,13.502,14.051,0.123,-0.19,-1.12,99.00,,Pass,0,169.0891,,,Sample,C12 H11 N,4111783,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 13.657,DPA_1ug_ml_diff_method_2_200218-0003.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (2),2,,Ethyl Centralite,1,586286,Find by Formula,14949739,144.9820,268.1575,,98.63,269.1647,,13.973,13.824,14.326,0.129,-0.09,-0.34,98.63,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1726909,3,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.973,DPA_1ug_ml_diff_method_2_200218-0003.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (2),3,,Diethyl Phthalate,1,41609,Find by Formula,1400048,144.9821,222.0874,,64.46,223.0949,,8.910,8.490,9.285,0.348,-1.80,-8.10,64.46,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,58513,4,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 8.910,DPA_1ug_ml_diff_method_2_200218-0003.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
DPA 1ug/mL  - different method (2),4,,Nitrobenzene,1,215595,Find by Formula,17138127,144.9821,123.0321,,99.79,124.0393,,8.678,8.189,12.716,2.740,0.03,0.26,99.79,,Pass,0,123.0320,,,Sample,C6 H5 N O2,103896,3,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 8.678,DPA_1ug_ml_diff_method_2_200218-0003.d,Instrument 1,P2-A2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (1),1,,Diphenylamine,1,789916,Find by Formula,30458457,776.2393,169.0886,,97.69,170.0958,,2.044,1.893,2.410,0.128,-0.52,-3.10,97.69,,Pass,0,169.0891,,,Sample,C12 H11 N,3603817,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 2.044,EC_1ug_ml_diff_method_1_200218-0005.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (1),2,,Ethyl Centralite,1,583638,Find by Formula,9516755,776.2418,268.1573,,98.78,269.1645,,2.377,2.245,2.675,0.131,-0.27,-1.02,98.78,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,1099956,3,Positive,1,1,1,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 2.377,EC_1ug_ml_diff_method_1_200218-0005.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (1),3,,HMX,1,4688,Find by Formula,31736,776.2361,296.0444,,69.40,297.0517,,4.341,4.286,4.407,0.056,-2.14,-7.24,69.40,low score,Warning,2,296.0465,,,Sample,C4 H8 N8 O8,8519,2,Positive,1,1,1,Cpd 3: HMX; C4 H8 N8 O8; 4.341,EC_1ug_ml_diff_method_1_200218-0005.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (1),4,,Nitrobenzene,1,161302,Find by Formula,9465987,776.2358,123.0321,,99.83,124.0393,,11.810,11.347,13.751,1.139,0.05,0.37,99.83,,Pass,0,123.0320,,,Sample,C6 H5 N O2,119988,3,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 11.810,EC_1ug_ml_diff_method_1_200218-0005.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (2),1,,Ethyl Centralite,1,303112,Find by Formula,86003227,531.4079,268.1576,,97.82,269.1649,,14.140,14.129,14.812,0.113,0.06,0.21,97.82,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,11888370,4,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 14.140,EC_1ug_ml_diff_method_2_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (2),2,,PETN,1,1773,Find by Formula,48125,269.1722,316.0166,,62.64,334.0504,,14.173,14.051,14.515,0.757,2.70,8.53,62.64,low score; No H adduct,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2845,2,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 14.173,EC_1ug_ml_diff_method_2_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (2),3,,Diethyl Phthalate,1,35923,Find by Formula,347495,453.3435,222.0873,,64.52,223.0948,,8.888,8.712,9.163,0.270,-1.90,-8.54,64.52,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,25707,4,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 8.888,EC_1ug_ml_diff_method_2_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (2),4,,Nitrobenzene,1,499926,Find by Formula,2719476,112.0504,123.0321,,99.77,124.0393,,2.578,1.993,2.773,0.939,0.07,0.58,99.77,,Pass,0,123.0320,,,Sample,C6 H5 N O2,104657,7,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 2.578,EC_1ug_ml_diff_method_2_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (3),1,,Ethyl Centralite,1,265542,Find by Formula,92161250,144.9819,268.1575,,96.40,269.1649,,14.135,14.124,14.852,0.117,-0.02,-0.09,96.40,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,11980485,4,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 14.135,EC_1ug_ml_diff_method_3_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (3),2,,PETN,1,1672,Find by Formula,78592,269.1687,316.0164,,58.26,334.0502,,14.190,14.124,14.918,1.103,2.49,7.88,58.26,low score; No H adduct,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,2691,2,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 14.190,EC_1ug_ml_diff_method_3_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (3),3,,Diethyl Phthalate,1,16571,Find by Formula,523141,144.9818,222.0876,,65.49,223.0953,,11.233,10.715,11.586,1.859,-1.65,-7.44,65.49,low score,Warning,2,222.0892,,,Sample,C12 H14 O4,16236,4,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 11.233,EC_1ug_ml_diff_method_3_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
EC 1ug/mL  - different method (3),4,,Nitrobenzene,1,544311,Find by Formula,1054186,112.0505,123.0321,,99.66,124.0393,,2.606,2.253,2.758,0.140,0.03,0.25,99.66,,Pass,0,123.0320,,,Sample,C6 H5 N O2,65556,7,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 2.606,EC_1ug_ml_diff_method_3_200218-0006.d,Instrument 1,P2-A3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
MeOH Blank - different method,1,,Ethyl Centralite,1,85280,Find by Formula,1717236,702.2192,268.1584,,82.36,269.1655,,14.015,13.893,14.423,0.137,0.81,3.01,82.36,,Pass,0,268.1576,,,Sample,C17 H20 N2 O,178258,2,Positive,1,1,1,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 14.015,MeOH_Blank_diff_method_200218-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
MeOH Blank - different method,2,,PETN,1,3721,Find by Formula,103646,141.1386,316.0137,,70.61,339.0042,,0.986,0.523,1.085,1.074,-0.16,-0.50,70.61,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,5208,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 0.986,MeOH_Blank_diff_method_200218-0001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success
